Title,Link,Date,Medium,Dimensions,Object Number,Credit Line
Rough Ground near the Sea,http://onlinecollection.nationalgallery.ie/objects/2955/rough-ground-near-the-sea?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=625,N/A,Oil on board,30 x 46 cm,NGI.1512,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
"The Seashore, Holland",http://onlinecollection.nationalgallery.ie/objects/2956/the-seashore-holland?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=626,N/A,Oil on board,30 x 45 cm,NGI.1513,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Rough Ground below a Cornfield,http://onlinecollection.nationalgallery.ie/objects/2957/rough-ground-below-a-cornfield?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=627,N/A,Oil on board,30 x 45 cm,NGI.1514,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
"Sandhills and the Sea, Portmarnock",http://onlinecollection.nationalgallery.ie/objects/2958/sandhills-and-the-sea-portmarnock?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=628,N/A,Oil on canvas,33 x 46 cm,NGI.1515,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Hillocks by the Sea,http://onlinecollection.nationalgallery.ie/objects/2959/hillocks-by-the-sea?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=629,N/A,Oil on board,30 x 46 cm,NGI.1516,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Cattle Resting,http://onlinecollection.nationalgallery.ie/objects/2960/cattle-resting?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=630,N/A,Oil on canvas,33 x 45 cm,NGI.1517,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
An Old Road with Trees,http://onlinecollection.nationalgallery.ie/objects/2961/an-old-road-with-trees?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=631,N/A,Oil on board,38 x 59 cm,NGI.1518,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Spit of Sand with Boats beyond,http://onlinecollection.nationalgallery.ie/objects/2962/spit-of-sand-with-boats-beyond?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=632,N/A,Oil on board,30 x 45 cm,NGI.1519,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
A River Scene with Shipping,http://onlinecollection.nationalgallery.ie/objects/2963/a-river-scene-with-shipping?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=633,N/A,Oil on canvas,65.4 x 96 cm,NGI.152,"Purchased, 1889"
Girl and a Goat,http://onlinecollection.nationalgallery.ie/objects/2964/girl-and-a-goat?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=634,N/A,Oil on board,30 x 45 cm,NGI.1520,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Cornfield below a Hill,http://onlinecollection.nationalgallery.ie/objects/2965/cornfield-below-a-hill?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=635,N/A,Oil on canvas,35 x 46 cm,NGI.1521,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Wheatfield by the Sea,http://onlinecollection.nationalgallery.ie/objects/2966/wheatfield-by-the-sea?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=636,N/A,Oil on board,33 x 45 cm,NGI.1522,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
High Sandhill,http://onlinecollection.nationalgallery.ie/objects/2967/high-sandhill?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=637,N/A,Oil on canvas,33 x 46 cm,NGI.1523,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
"View of the Cliffs, Etretat, with Boats",http://onlinecollection.nationalgallery.ie/objects/2968/view-of-the-cliffs-etretat-with-boats?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=638,N/A,Oil on canvas,35 x 54 cm,NGI.1524,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Cattle Resting,http://onlinecollection.nationalgallery.ie/objects/2969/cattle-resting?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=639,N/A,Oil on board,35 x 52 cm,NGI.1526,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
